avg_cosine_center,cosine_with_top1,cosine_with_top2,cosine_with_top3,cosine_with_top4,cosine_with_top5,device_id,url
0.253,0.51,0.37,0.36,0.28,0.27,6ea7926c03a5ae135f5e7d5335cc9993107da317,https://mp.weixin.qq.com/s/__OGRAI1gwu2g97TyroMtw
-100.0,,,,,,ff0470c649454944ed32331121ff36f3dfedbf4c,http://www.morningpost.com.cn/2018/0625/1721069.shtml
0.168,0.5700000000000001,0.22,0.19,0.16,0.15,420c4b0ad472c31d,http://tech.ifeng.com/a/20180703/45046990_0.shtml
0.14100000000000001,0.4,0.29,0.2,0.15,0.14,5f28fb010fd3a014af6708d14b080de3bea6948e,https://mp.weixin.qq.com/s/yaL5j7GjrYaS5Kh3xmRDMw
0.16599999999999998,0.42,0.33,0.32,0.23,0.16,d43f53db901bda0f8ff031a479411f5d1ca738d5,https://www.jiemian.com/article/2273715.html
0.17899999999999996,0.36,0.32,0.22,0.17,0.17,5JPDU17715018169,http://world.huanqiu.com/exclusive/2018-06/12309105.html
0.14400000000000002,0.43,0.27,0.16,0.14,0.11,ee33078e892c37b8aa4f77c9ff2359739a040a21,http://ent.rednet.cn/c/2018/07/04/4670544.htm
-100.0,,,,,,37505b232fc32bf525b6738fe1a5fad9a4e1803a,http://www.morningpost.com.cn/2018/0702/1722855.shtml
0.126,0.42,0.33,0.17,0.08,0.07,2b614585003af4afa797bb4601876b47f1610472,https://wallstreetcn.com/articles/3352131
-100.0,,,,,,80f7fd2d91444c39c5366222fd1d29e8f76e673a,http://www.pearvideo.com/video_1374893
0.14100000000000001,0.37,0.3,0.21,0.17,0.17,16797505257f630e2b3335c2cb0d052aef87099a,http://sports.people.com.cn/worldcup2018/n1/2018/0626/c418684-30085691.html
0.15899999999999997,0.51,0.48,0.17,0.12,0.12,C4M0217C04001466,http://xa.house.ifeng.com/detail/2018_06_29/51510339_0.shtml
0.233,0.56,0.42,0.32,0.27,0.2,A7QDU17C02002063,http://news.dzwww.com/guojixinwen/201807/t20180703_17561704.htm
0.207,0.43,0.33,0.29,0.24,0.19,e9ee0240a4833bd40f4442b1d5c55c76d767690e,http://news.mtime.com/2018/06/27/1581893.html
0.167,0.55,0.31,0.18,0.17,0.12,51513d93b968c223dd2bc984b4ed29f6a0672e21,http://www.xinhuanet.com/world/2018-06/29/c_129903674.htm
0.168,0.46,0.42,0.22,0.19,0.17,5c7bc50ffdc4aee1a5f9447b07cc995c00a4ef8b,http://xw.kunming.cn/c/2018-06-25/10541257.htm
0.16,0.5,0.35000000000000003,0.25,0.13,0.1,f8f9d2e8f3e51897cc9d1f00026a37408798a49e,http://home.nen.com.cn/system/2018/06/30/020559281.shtml
0.13899999999999998,0.41000000000000003,0.25,0.19,0.19,0.17,5a500f802938b45dec65347264e378803c6d06c4,https://www.jiemian.com/article/2259736.html
0.30200000000000005,0.54,0.43,0.32,0.32,0.27,2375643223027ece,http://news.cri.cn/20180625/c801eb4d-3ee2-9774-8607-d0bca3fefb7c.html
0.253,0.65,0.46,0.41000000000000003,0.3,0.26,4543290bcb19624b16885f0c1bd668c1a52d737a,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/s/2018-07-04/doc-ihevauxi9616177.shtml
0.23499999999999996,0.41000000000000003,0.38,0.26,0.24,0.24,21a4bdc,http://www.guandian.cn/article/20180702/203688.html
0.20444444444444446,0.36,0.33,0.22,0.22,0.2,ea33642a5175e2a5e2a3ae32ce918baf96570b5a,https://www.jiemian.com/article/2285815.html
0.20999999999999996,0.6,0.22,0.21,0.2,0.19,6a6c1455d7553ae91ba8b696853049e62c6bfdb9,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/s/2018-06-30/doc-ihespqrx3658965.shtml
0.21600000000000003,0.62,0.31,0.29,0.19,0.18,d05e701cde00b558ed9d981b13baa7cd88971e58,http://www.chinanews.com/sh/2018/06-24/8545082.shtml
0.21800000000000003,0.46,0.43,0.33,0.18,0.17,c87fbc111985eb5c73b9e3f29693ae95fd01109f,http://m2.people.cn/r/MV8wXzExMTc2OTk3XzY3Nl8xNTI5NjI0NjQ3
0.06400000000000003,0.31,0.2,0.16,0.1,0.02,3c9b30a6ee2f23c6a86546c3ca77f4b7d5aa5ce3,https://www.ettoday.net/news/20180624/1197756.htm?from=chouti_et_news
0.0625,0.21,0.04,0.01,-0.01,,bf303ddd,http://lady.163.com/18/0705/10/DLUPGLS400267VA9.html
0.182,0.44,0.39,0.37,0.31,0.17,8fde815a3c2ec07ce17b6d30bc416df5e25f66d8,https://wallstreetcn.com/articles/3342988
0.263,0.55,0.45,0.37,0.36,0.3,BNU5T17307000285,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/s/2018-07-02/doc-ihevauxi2380145.shtml
0.21999999999999997,0.44,0.34,0.3,0.29,0.23,26976e478ed7fb8c09826fbad80ab0178d92dad3,http://go.rss.sina.com.cn/redirect.php?url=http://news.sina.com.cn/s/2018-06-29/doc-iheqpwqz2132606.shtml
0.24900000000000003,0.51,0.43,0.36,0.27,0.27,UYT0217C07001698,https://www.jiemian.com/article/2273102.html
0.15000000000000002,0.27,0.24,0.19,0.19,0.18,68533f,https://mp.weixin.qq.com/s/_AoToicjqn0iY49XyWHIog
0.221,0.56,0.37,0.28,0.22,0.21,58Y5T17929002956,http://world.huanqiu.com/exclusive/2018-06/12320437.html
0.217,0.48,0.4,0.38,0.27,0.16,7c6c489c3cdbb602bf7b395c8122eedb7c58ea6c,https://www.thepaper.cn/newsDetail_forward_2214244
0.168,0.64,0.34,0.16,0.15,0.14,9642a8123c3e6a7f9e13d6e4217278f11d1185cd,http://finance.sina.com.cn/china/2018-06-22/doc-ihefphqm6360962.shtml
0.16799999999999998,0.36,0.24,0.23,0.21,0.2,29c74293c30381a8f65368babd5269819c2091da,http://m2.people.cn/r/MV8wXzExMTc2OTk3XzY3Nl8xNTI5NjI0NjQ3
0.259,0.5,0.39,0.37,0.37,0.36,1da63d0,https://www.jiemian.com/article/2272553.html
0.088,0.31,0.25,0.14,0.1,0.06,LE67A06300359912,https://www.jiemian.com/article/2276221.html
0.186,0.44,0.37,0.27,0.24,0.23,8f4ad9e3f914fc59e0898de82711b227d270ff0c,http://society.huanqiu.com/article/2018-07/12416126.html
0.099,0.38,0.19,0.17,0.14,0.12,fa592d0be45450cc7afec21cf14ac80c24711f20,http://www.xinhuanet.com/world/2018-06/22/c_129898284.htm
0.13500000000000004,0.67,0.2,0.16,0.12,0.08,398056e5411da73ad3735a56c9a854b47b08da6a,http://www.xinhuanet.com/world/2018-06/21/c_129897696.htm
-100.0,,,,,,d4cfde9f,https://www.miaopai.com/show/-AsygtlJa7DxZxBymL~ovskPlh90aiqdMTpmCg__.htm
0.0029999999999999983,0.15,0.13,0.1,0.02,0.01,3032c84a1b4d6ec4e7a27be1aedc7f9963374d48,http://news.xhby.net/system/2018/07/03/030851699.shtml
0.28,0.67,0.41000000000000003,0.27,0.26,0.25,763bfa2d99a66c4ffd0e9baf8457d4f700b797c3,http://zhuanlan.zhihu.com/p/38289392?utm_campaign=rss&utm_medium=rss&utm_source=rss&utm_content=title
0.30799999999999994,0.44,0.38,0.33,0.31,0.3,bb9624ac986827efcf5c227c2bffaa83d854c135,https://www.thepaper.cn/newsDetail_forward_2216491
0.084,0.36,0.17,0.15,0.06,0.05,d4773c33f13803f0ba579cec37be1cf9f6bfe87c,http://mobile2.itanzi.com/api2/a/926559?for=rss&rss=chouti
0.277,0.46,0.45,0.33,0.3,0.27,52d7b4608d3c9386a2f9ca66444005e338c94bd4,https://www.jiemian.com/article/2262005.html
0.07200000000000001,0.36,0.25,0.15,0.12,0.03,0d7feb9069b3286ab624b702682fd53f0eede674,http://society.yunnan.cn/html/2018-06/30/content_5275064.htm
0.244,0.42,0.38,0.36,0.35000000000000003,0.24,8f4ad9e3f914fc59e0898de82711b227d270ff0c,http://news.cri.cn/20180630/bfdb8878-395e-c972-47b5-9f3ffc5a4f48.html
0.12399999999999997,0.41000000000000003,0.22,0.17,0.16,0.15,70d6970cd8d278dc9196418cbc005b3ad4d4a7dc,https://c.m.163.com/news/a/DLQR7BBG0529EPGJ.html?spss=newsapp&from=timeline&isappinstalled=0
0.278,0.46,0.43,0.33,0.32,0.3,8e68ffe9246ca6f91702951bcb9cf6fefce99dd0,https://mp.weixin.qq.com/s?__biz=MzU3NTA2OTc2Nw==&mid=2247531122&idx=2&sn=fc520c01181ddc3042981bb291309b50&chksm=fd2af15aca5d784ccdb18e52517cf5fccb66e0174228980ca22efc9b108c5a0e0ad1f15ad986#rd
0.016999999999999994,0.16,0.15,0.12,0.11,0.0,2907ed3996562cfa9bbb29d4c6d8f994a4725e0d,https://mp.weixin.qq.com/s/Sv5NDzxkeKHExIdLFE4sww
0.101,0.33,0.24,0.14,0.1,0.09,KWG5T16C17061105,http://www.shejipi.com/193854.html
